n,combinaciones
6,1
7,1
8,1
9,2
10,1
11,2
12,2
13,2
14,1
15,3
16,2
17,4
18,2
19,3
20,2
21,5
22,2
23,5
24,3
25,5
26,3
27,7
28,3
29,7
30,2
31,6
32,3
33,9
34,2
35,8
36,4
37,9
38,4
39,10
40,2
41,11
42,3
43,10
44,4
45,12
46,3
47,13
48,4
49,12
50,5
51,15
52,4
53,16
54,3
55,14
56,5
57,17
58,3
59,16
60,4
61,16
62,6
63,19
64,3
65,21
66,5
67,20
68,6
69,20
70,2
71,22
72,5
73,21
74,6
75,22
76,5
77,28
78,5
79,24
80,7
81,25
82,4
83,29
84,5
85,27
86,8
87,29
88,5
89,33
90,4
91,29
92,9
93,33
94,4
95,35
96,5
97,34
98,7
99,30
100,3
101,38
102,6
103,36
104,8
105,35
106,5
107,43
108,6
109,38
110,8
111,37
112,6
113,47
114,7
115,42
116,10
117,43
118,6
119,50
120,6
121,46
122,12
123,47
124,4
125,53
126,5
127,50
128,10
129,45
130,3
131,57
132,7
133,54
134,9
135,47
136,6
137,62
138,5
139,53
140,8
141,49
142,7
143,65
144,8
145,59
146,11
147,55
148,6
149,68
150,5
151,61
152,12
153,60
154,4
155,69
156,8
157,68
158,11
159,58
160,5
161,77
162,8
163,73
164,10
165,60
166,5
167,78
168,6
169,69
170,13
171,65
172,9
173,89
174,6
175,75
176,11
177,69
178,7
179,86
180,7
181,80
182,14
183,75
184,6
185,92
186,8
187,90
188,13
189,74
190,5
191,95
192,8
193,91
194,11
195,73
196,7
197,102
198,9
199,93
200,13
201,82
202,8
203,107
204,9
205,95
206,14
207,85
208,7
209,110
210,7
211,100
212,19
213,95
214,6
215,116
216,8
217,111
218,13
219,88
220,7
221,122
222,9
223,115
224,11
225,90
226,7
227,125
228,7
229,114
230,12
231,94
232,9
233,130
234,7
235,111
236,15
237,102
238,9
239,132
240,9
241,124
242,18
243,109
244,8
245,134
246,9
247,134
248,16
249,108
250,6
251,142
252,9
253,137
254,16
255,108
256,9
257,154
258,8
259,136
260,14
261,111
262,10
263,154
264,9
265,139
266,16
267,120
268,8
269,157
270,9
271,149
272,19
273,127
274,7
275,158
276,11
277,160
278,16
279,122
280,7
281,171
282,14
283,166
284,16
285,129
286,8
287,176
288,12
289,161
290,17
291,134
292,10
293,186
294,8
295,159
296,19
297,143
298,8
299,187
300,11
301,171
302,21
303,146
304,9
305,190
306,10
307,187
308,15
309,143
310,8
311,198
312,12
313,190
314,17
315,146
316,9
317,210
318,10
319,187
320,15
321,151
322,11
323,210
324,11
325,186
326,20
327,161
328,7
329,207
330,10
331,197
332,24
333,167
334,6
335,213
336,11
337,207
338,19
339,161
340,9
341,234
342,13
343,216
344,17
345,162
346,10
347,237
348,9
349,211
350,16
351,170
352,13
353,244
354,10
355,210
356,20
357,180
358,9
359,240
360,10
361,225
362,22
363,182
364,8
365,238
366,14
367,239
368,18
369,183
370,8
371,254
372,14
373,241
374,18
375,181
376,10
377,267
378,11
379,231
380,22
381,195
382,13
383,278
384,10
385,234
386,19
387,200
388,12
389,269
390,9
391,255
392,27
393,209
394,11
395,271
396,11
397,270
398,21
399,200
400,7
401,287
402,14
403,273
404,17
405,197
406,11
407,294
408,13
409,270
410,20
411,215
412,13
413,300
414,11
415,260
416,21
417,222
418,10
419,297
420,11
421,278
422,30
423,231
424,11
425,304
426,12
427,298
428,21
429,220
430,9
431,318
432,14
433,305
434,19
435,219
436,13
437,336
438,11
439,299
440,21
441,229
442,14
443,336
444,13
445,290
446,21
447,245
448,12
449,330
450,13
451,318
452,27
453,258
454,12
455,321
456,12
457,328
458,24
459,247
460,9
461,352
462,16
463,334
464,28
465,250
466,12
467,369
468,13
469,330
470,24
471,260
472,15
473,373
474,13
475,330
476,23
477,267
478,14
479,377
480,11
481,352
482,29
483,275
484,11
485,362
486,14
487,367
488,23
489,269
490,9
491,388
492,19
493,380
494,22
495,268
496,13
497,394
498,13
499,362
500,23
501,283
502,13
503,408
504,15
505,357
506,27
507,294
508,15
509,412
510,14
511,374
512,32
513,311
514,11
515,400
516,14
517,402
518,23
519,293
520,11
521,430
522,17
523,410
524,24
525,291
526,11
527,440
528,15
529,399
530,25
531,309
532,14
533,442
534,17
535,395
536,22
537,319
538,13
539,434
540,14
541,412
542,30
543,332
544,10
545,434
546,13
547,426
548,30
549,326
550,11
551,467
552,19
553,437
554,23
555,313
556,11
557,476
558,11
559,428
560,23
561,328
562,18
563,484
564,14
565,423
566,24
567,337
568,13
569,483
570,13
571,443
572,31
573,355
574,11
575,463
576,16
577,466
578,26
579,346
580,12
581,489
582,19
583,472
584,25
585,337
586,12
587,505
588,13
589,462
590,29
591,360
592,16
593,522
594,15
595,442
596,27
597,366
598,12
599,515
600,15
601,478
602,32
603,377
604,12
605,505
606,14
607,501
608,27
609,363
610,13
611,537
612,20
613,508
614,26
615,359
616,15
617,547
618,19
619,510
620,26
621,387
622,18
623,547
624,17
625,486
626,31
627,396
628,12
629,557
630,16
631,514
632,41
633,417
634,10
635,550
636,14
637,531
638,28
639,393
640,15
641,583
642,18
643,546
644,25
645,386
646,17
647,597
648,16
649,542
650,27
651,406
652,21
